episode_id,color_id
141,8
227,11
361,11
353,7
144,13
50,6
91,7
345,3
42,2
83,3
270,9
303,6
94,12
228,12
388,1
220,8
167,2
354,8
387,5
178,11
84,4
170,7
357,13
398,14
304,7
95,13
136,14
296,3
34,3
307,12
213,5
254,6
45,12
205,1
37,8
380,2
171,8
163,4
391,11
297,4
383,7
330,1
121,7
349,14
113,3
46,13
300,9
247,3
333,6
258,12
250,8
384,8
376,4
208,11
342,11
334,7
125,13
166,14
30,4
326,3
197,1
284,6
122,7
209,12
114,3
201,8
25,11
72,6
159,11
368,5
64,2
379,14
117,14
22,5
14,1
329,13
65,3
151,6
285,6
372,11
277,2
68,8
196,14
15,2
330,14
26,11
227,1
18,7
361,1
193,8
280,13
144,3
272,9
364,6
102,6
94,2
228,2
11,4
52,5
44,1
186,5
359,13
178,1
10,8
197,14
356,7
147,13
307,2
53,6
139,9
45,2
273,9
56,11
97,12
399,5
3,5
231,12
391,1
223,8
129,1
215,4
181,11
352,9
98,13
258,2
90,9
310,12
216,5
257,6
48,12
208,1
40,8
227,14
342,1
174,8
260,11
394,11
345,6
386,7
177,13
378,3
124,7
311,13
75,2
303,9
295,5
127,12
33,5
261,12
25,1
167,5
253,8
159,1
200,2
387,8
211,11
203,7
390,13
337,7
128,13
288,2
34,6
120,9
329,3
67,3
254,9
340,12
246,5
37,11
78,12
287,6
70,8
212,12
372,1
204,8
196,4
330,4
162,11
26,1
113,6
154,7
382,14
333,9
79,13
280,3
63,5
29,12
21,8
155,8
367,7
359,3
105,7
284,9
317,6
108,12
242,12
147,3
234,8
368,8
192,11
97,2
184,7
371,13
231,2
22,8
318,7
150,14
14,4
181,1
59,12
98,3
226,9
101,8
397,7
229,14
48,2
363,14
260,1
6,5
394,1
185,7
272,12
313,13
177,3
135,6
127,2
261,2
93,9
180,14
44,4
219,5
51,12
211,1
2,7
390,3
128,3
340,2
86,6
172,9
78,2
306,9
393,14
212,2
264,12
28,1
215,7
181,14
214,11
165,6
385,9
131,13
291,2
123,9
29,2
257,9
241,1
260,14
375,1
207,8
378,6
210,13
116,6
157,7
344,13
108,2
336,9
242,2
160,12
66,5
294,12
200,5
286,8
192,1
24,8
211,14
244,11
329,6
370,7
161,13
67,6
153,9
362,3
59,2
100,3
287,9
70,11
111,12
17,5
245,12
9,1
237,8
363,4
195,11
146,6
187,7
321,7
112,13
272,2
313,3
104,9
238,9
271,6
62,12
54,8
241,14
188,8
51,2
138,7
325,13
366,14
130,3
317,9
275,12
267,8
225,11
89,1
217,7
264,2
351,7
142,13
183,14
134,9
214,1
5,7
92,12
301,6
226,12
131,3
176,11
81,2
396,14
260,4
293,1
39,5
31,1
218,7
305,12
210,3
255,11
160,2
302,6
389,11
294,2
85,8
126,9
213,14
32,2
118,5
347,14
252,5
244,1
35,7
169,7
297,13
161,3
381,6
172,12
119,6
111,2
339,9
245,2
331,5
77,9
28,4
69,5
61,1
248,7
80,14
195,1
289,8
214,14
112,3
373,7
164,13
324,2
115,8
156,9
62,2
290,9
282,5
73,11
114,12
274,1
20,5
293,14
12,1
199,7
240,8
191,3
23,10
243,13
149,6
377,13
369,9
275,2
316,3
107,9
13,2
99,5
286,11
24,11
65,12
225,1
16,7
57,8
244,14
319,8
142,3
362,6
194,13
100,6
141,7
328,13
92,2
320,9
226,2
312,5
58,9
50,5
278,12
42,1
229,7
176,1
8,8
195,14
396,4
228,11
179,6
354,7
145,13
305,2
346,3
137,9
271,9
357,12
263,5
54,11
95,12
255,1
87,8
274,14
389,1
221,8
347,4
130,6
171,7
358,13
399,14
350,9
96,13
1,4
88,9
300,8
46,12
38,8
225,14
258,11
384,7
175,13
80,4
301,9
125,12
30,3
259,12
164,3
251,8
73,1
114,2
388,13
39,8
167,14
243,3
377,3
255,14
288,11
335,6
126,12
327,2
118,8
65,2
380,14
285,5
76,11
277,1
68,7
15,1
202,7
194,3
26,10
18,6
69,8
110,9
61,4
102,5
289,11
281,7
27,11
228,1
19,7
11,3
145,3
186,4
365,6
156,12
197,13
357,2
189,9
95,2
323,9
315,5
307,1
45,1
232,7
273,8
224,3
56,10
399,4
96,3
182,6
14,13
316,6
308,2
99,8
140,9
46,2
132,5
319,11
360,12
57,11
98,12
258,1
49,7
277,14
352,8
183,7
392,1
175,3
216,4
227,13
133,6
361,13
125,2
353,9
259,2
345,5
91,9
42,4
311,12
75,1
262,7
94,14
209,1
41,8
228,14
387,7
178,13
84,6
170,9
379,3
304,9
390,12
296,5
87,11
128,12
288,1
307,14
254,8
205,3
37,10
76,1
163,6
391,13
383,9
330,3
121,9
247,5
333,8
71,8
258,14
208,13
27,1
155,7
342,13
334,9
326,5
292,12
197,3
284,8
242,11
106,1
147,2
25,13
72,8
159,13
368,7
231,1
22,7
109,12
318,6
14,3
288,14
148,3
151,8
57,1
98,2
372,13
15,4
101,7
310,1
235,7
26,13
227,3
361,3
185,6
272,11
177,2
110,12
311,2
102,8
143,9
314,7
60,11
261,1
52,7
44,3
186,7
178,3
398,6
2,6
189,12
87,1
128,2
356,9
307,4
53,8
340,1
86,5
265,7
97,14
212,1
3,7
231,14
391,3
129,3
215,6
140,12
181,13
132,8
173,9
79,2
352,11
299,5
291,1
82,7
29,1
216,7
257,8
208,3
260,13
166,6
394,13
386,9
292,2
124,9
116,5
303,11
295,7
41,11
127,14
242,1
33,7
261,14
336,8
25,3
159,3
200,4
379,6
211,13
371,2
117,6
203,9
109,2
337,9
329,5
120,11
67,5
340,14
59,1
246,7
287,8
70,10
212,14
196,6
28,13
330,6
162,13
363,3
154,9
146,5
333,11
280,5
112,12
272,1
63,7
291,14
238,8
21,10
241,13
60,1
188,7
367,9
359,5
105,9
317,8
108,14
242,14
147,5
275,11
139,1
192,13
393,3
184,9
318,9
14,6
55,7
264,1
47,3
276,12
181,3
352,1
226,11
131,2
397,9
48,4
268,7
355,12
260,3
6,7
394,3
272,14
177,5
218,6
305,11
210,2
344,2
135,8
302,5
93,11
294,1
85,7
219,7
211,3
43,10
222,12
169,6
120,1
161,2
348,8
340,4
86,8
172,11
381,5
78,4
306,11
298,7
245,1
264,14
28,3
162,3
248,6
382,6
173,12
214,13
374,2
165,8
206,9
112,2
385,11
332,5
123,11
29,4
115,7
257,11
324,1
249,7
290,8
241,3
293,13
199,6
378,8
325,2
116,8
157,9
149,5
377,12
283,5
74,11
160,14
275,1
66,7
294,14
13,1
200,7
192,3
24,10
16,6
203,12
244,13
150,6
236,9
142,2
370,9
276,2
153,11
328,12
279,7
320,8
111,14
226,1
17,7
245,14
9,3
363,6
195,13
146,8
187,9
179,5
321,9
313,5
145,12
305,1
324,14
230,7
54,10
274,13
93,1
180,6
51,4
138,9
347,3
130,5
317,11
222,2
358,12
350,8
1,3
275,14
172,1
306,1
393,6
225,13
217,9
351,9
47,6
134,11
175,12
343,5
309,12
214,3
301,8
226,14
385,1
131,5
259,11
123,1
42,13
176,13
388,12
293,3
39,7
31,3
218,9
305,14
336,1
377,2
168,8
255,13
74,1
389,13
294,4
335,5
126,11
118,7
205,12
252,7
244,3
202,6
153,1
194,2
381,8
328,2
119,8
339,11
331,7
77,11
278,1
69,7
61,3
248,9
195,3
281,6
27,10
206,12
198,8
104,1
145,2
373,9
365,5
62,4
290,11
282,7
114,14
274,3
20,7
191,5
232,6
23,12
366,6
157,12
358,2
149,8
190,9
96,2
369,11
275,4
316,5
107,11
13,4
99,7
308,1
46,1
233,7
225,3
16,9
57,10
49,6
236,12
277,13
134,1
175,2
100,8
395,5
320,11
361,12
312,7
58,11
144,14
259,1
50,7
278,14
42,3
176,3
396,6
187,12
228,13
388,2
179,8
220,9
354,9
346,5
137,11
271,11
357,14
263,7
95,14
255,3
307,13
213,6
205,2
130,8
171,9
163,5
350,11
391,12
1,6
88,11
129,12
297,5
308,14
247,4
38,10
339,1
217,12
258,13
77,1
