episode_id,subject_id
395,4
141,8
360,46
50,6
63,25
364,16
270,9
262,5
8,9
303,6
388,1
174,41
167,2
354,8
84,4
344,43
390,10
296,3
106,22
213,5
254,6
367,63
246,2
399,15
3,15
163,4
318,27
129,11
330,1
300,9
132,16
172,52
38,9
247,3
333,6
258,12
299,13
204,41
82,15
374,43
193,31
326,3
345,16
155,41
33,15
167,15
72,6
368,5
317,39
22,5
109,10
14,1
34,16
120,19
65,3
151,6
212,22
285,6
277,2
68,8
109,46
55,38
215,27
235,5
276,43
227,1
144,3
272,9
364,6
102,6
21,18
94,2
228,2
314,5
52,5
105,17
116,26
336,29
315,6
307,2
53,6
348,3
45,2
159,24
200,25
265,5
56,11
399,5
3,5
43,41
223,8
215,4
132,6
287,29
360,13
352,9
98,13
258,2
17,25
82,5
310,12
216,5
257,6
48,12
322,23
342,1
174,8
260,11
6,15
166,4
345,6
177,13
378,3
303,9
295,5
33,5
261,12
52,18
167,5
253,8
387,8
170,10
117,4
288,2
329,3
120,9
67,3
254,9
126,52
246,5
287,6
340,12
372,1
330,4
26,1
113,6
341,13
333,9
79,13
71,9
339,52
63,5
237,41
238,6
397,30
21,8
155,8
241,11
375,11
207,18
158,13
218,27
317,6
108,12
290,52
336,19
33,18
74,19
283,13
389,31
200,15
252,25
231,2
55,5
67,16
17,15
101,8
268,5
100,49
260,1
6,5
272,12
63,18
218,4
135,6
39,38
85,5
219,5
346,46
2,7
271,52
108,25
222,10
128,3
348,6
267,18
86,6
172,9
78,2
97,15
89,11
36,5
351,17
256,8
343,13
362,26
214,11
165,6
385,9
291,2
123,9
29,2
115,5
257,9
249,5
40,11
6,18
375,1
207,8
386,10
108,2
242,2
74,9
302,16
66,5
294,12
200,5
192,1
24,8
252,15
150,4
168,52
329,6
67,6
153,9
59,2
287,9
328,10
119,16
279,5
111,12
17,5
36,18
331,15
154,10
146,6
187,7
198,16
104,9
50,38
238,9
54,8
241,14
282,15
188,8
20,15
179,39
31,24
191,13
51,2
325,13
130,3
243,23
149,16
317,9
275,12
13,12
233,15
393,4
16,17
89,1
264,2
202,27
301,6
131,3
217,43
9,14
50,15
81,2
195,24
281,27
388,10
293,1
39,5
137,19
210,3
251,41
263,15
168,6
160,2
302,6
221,18
12,24
126,9
85,8
32,2
118,5
252,5
43,11
130,16
35,7
297,13
161,3
202,4
381,6
119,6
111,2
339,9
245,2
331,5
69,5
256,11
343,16
289,8
309,23
198,6
353,29
332,6
115,8
156,9
62,2
102,38
282,5
274,1
20,5
39,18
149,6
168,19
107,9
13,2
99,5
118,18
252,18
236,10
383,29
100,6
328,13
247,25
111,15
226,2
312,5
331,18
50,5
42,1
110,19
101,50
270,8
262,4
396,4
187,10
361,46
137,9
83,38
357,12
103,16
263,5
303,41
282,18
87,8
20,18
53,15
4,10
138,10
224,13
130,6
243,26
1,4
88,9
148,23
140,19
246,37
183,17
214,4
342,10
333,41
345,15
164,3
262,17
73,1
314,27
39,8
72,5
346,16
284,41
304,19
160,5
126,12
327,2
118,8
65,2
285,5
372,10
297,16
121,19
26,10
18,6
247,15
352,31
144,2
278,2
364,5
102,5
281,7
334,19
239,10
30,16
365,6
156,12
75,24
189,9
122,19
95,2
323,9
315,5
53,5
368,17
45,1
190,10
22,17
182,6
316,6
308,2
348,38
46,2
132,5
266,5
392,1
7,10
395,6
181,46
133,6
125,2
353,9
185,16
259,2
345,5
110,22
102,18
229,59
249,37
41,8
220,10
260,46
280,61
346,6
84,6
170,9
75,37
379,3
304,9
136,16
296,5
128,12
288,1
315,18
53,18
254,8
3,17
163,6
383,9
129,13
148,26
330,3
349,16
140,22
113,5
247,5
71,8
299,15
250,10
376,6
27,1
375,10
30,6
326,5
158,12
197,3
284,8
75,14
147,2
44,26
72,8
231,1
318,6
109,12
14,3
306,31
98,2
277,4
310,1
361,3
280,15
185,6
364,8
311,2
102,8
257,31
187,52
10,10
398,6
2,6
317,18
136,6
87,1
128,2
307,4
53,8
139,11
348,5
86,5
265,7
56,13
138,52
3,7
318,19
215,6
349,6
341,2
132,8
360,15
79,2
279,27
299,5
291,1
9,23
82,7
268,17
174,10
260,13
166,6
386,9
292,2
378,5
116,5
290,41
295,7
336,8
242,1
25,3
207,43
159,3
371,2
117,6
337,9
128,15
329,5
139,24
67,5
172,21
279,4
298,17
245,11
196,6
215,19
330,6
363,3
154,9
146,5
165,18
280,5
71,11
299,18
21,10
249,17
81,24
155,10
241,13
375,13
179,38
367,9
158,15
359,5
105,9
271,41
317,8
283,15
147,5
97,4
393,3
203,22
231,4
318,9
14,6
329,18
47,3
67,18
181,3
233,50
352,1
28,26
146,18
6,7
321,19
394,3
104,21
177,5
210,2
324,24
344,2
135,8
302,5
44,6
191,25
211,3
2,9
168,41
169,6
369,31
161,2
381,5
78,4
89,13
351,19
142,25
256,10
162,3
248,6
309,22
382,6
214,13
5,19
301,18
112,2
332,5
29,4
176,23
40,13
290,8
73,10
6,20
207,10
199,6
218,19
137,31
325,2
116,8
271,31
62,37
149,5
263,27
377,12
283,5
275,1
13,1
192,3
347,26
16,6
150,6
142,2
370,9
161,15
59,4
100,5
287,11
328,12
17,7
229,6
363,6
100,41
146,8
187,9
355,2
179,5
321,9
313,5
104,11
145,12
332,18
164,25
373,19
384,65
271,8
263,4
228,46
93,1
180,6
191,15
138,9
130,5
243,25
149,18
1,3
221,43
306,1
393,6
217,9
264,4
351,9
47,6
343,5
175,12
152,28
131,5
123,1
61,26
81,4
388,12
179,18
313,18
145,25
210,5
168,8
209,46
74,1
160,4
294,4
213,16
43,13
130,18
161,5
202,6
153,1
194,2
119,8
65,37
111,4
331,7
248,9
289,10
195,3
281,6
27,10
198,8
164,15
278,37
365,5
156,11
103,5
290,11
376,51
282,7
155,52
191,5
232,6
366,6
358,2
149,8
377,15
96,2
296,27
275,4
316,5
126,24
327,14
225,3
49,6
183,6
134,1
175,2
202,19
100,8
141,9
395,5
133,5
247,27
312,7
42,3
270,10
176,3
262,6
8,10
395,41
396,6
187,12
179,8
220,9
354,9
145,15
373,22
346,5
365,18
84,5
304,8
255,3
87,10
314,52
106,23
221,10
126,1
4,12
205,2
224,15
130,8
171,9
163,5
182,18
1,6
297,5
129,12
316,18
148,25
300,10
247,4
38,10
265,52
77,1
250,9
384,9
175,15
216,16
80,6
376,5
206,2
30,5
164,5
122,8
293,6
167,16
31,6
367,41
23,2
178,25
387,19
84,18
295,52
107,1
118,10
246,16
65,4
380,16
212,23
236,2
277,3
68,9
297,18
202,9
194,5
235,6
26,12
361,2
152,8
364,7
376,18
94,3
228,3
60,10
11,5
145,5
137,1
178,2
103,8
398,5
253,32
224,5
265,6
399,6
3,6
22,19
136,41
182,8
129,2
349,5
132,7
352,10
98,14
49,9
101,19
175,5
7,12
216,6
26,25
208,2
227,15
174,9
353,11
144,17
345,7
75,3
94,16
295,6
41,10
33,6
220,12
167,6
159,2
359,27
338,4
84,8
379,5
117,5
288,3
348,17
254,10
205,5
246,6
273,23
379,41
380,6
372,2
163,8
204,9
391,15
129,15
330,5
333,10
63,6
250,12
397,31
155,9
375,12
185,31
197,5
127,26
147,4
25,15
253,22
72,10
387,22
379,18
56,2
390,27
14,5
329,17
212,26
196,18
15,6
28,25
7,2
227,5
92,46
394,2
63,19
91,1
177,4
311,4
102,10
94,6
52,9
44,5
178,5
