id,title,season,episode,air_date,youtube_src,img_src,num_colors,extra_info
1,A Walk in the Woods,1,1,1983-01-11,https://www.youtube.com/embed/oh5p5f5_-7A,https://www.twoinchbrush.com/images/painting282.png,8,
2,Mount McKinley,1,2,1983-01-11,https://www.youtube.com/embed/RInDWhYceLU,https://www.twoinchbrush.com/images/painting283.png,8,
3,Ebony Sunset,1,3,1983-01-18,https://www.youtube.com/embed/UOziR7PoVco,https://www.twoinchbrush.com/images/painting284.png,9,
4,Winter Mist,1,4,1983-01-25,https://www.youtube.com/embed/0pwoixRikn4,https://www.twoinchbrush.com/images/painting285.png,3,
5,Quiet Stream,1,5,1983-02-01,https://www.youtube.com/embed/DFSIQNjKRfk,https://www.twoinchbrush.com/images/painting286.png,8,
6,Winter Moon,1,6,1983-02-08,https://www.youtube.com/embed/loAzRUzx1wI,https://www.twoinchbrush.com/images/painting287.png,4,
7,Autumn Mountains,1,7,1983-02-15,https://www.youtube.com/embed/sDdpc8uisD0,https://www.twoinchbrush.com/images/painting288.png,8,
8,Peaceful Valley,1,8,1983-02-22,https://www.youtube.com/embed/kQlFwTOkYzg,https://www.twoinchbrush.com/images/painting289.png,8,
9,Seascape,1,9,1983-03-01,https://www.youtube.com/embed/QxcS7p1VHyQ,https://www.twoinchbrush.com/images/painting290.png,8,
10,Mountain Lake,1,10,1983-03-08,https://www.youtube.com/embed/wDnLlywAL5I,https://www.twoinchbrush.com/images/painting291.png,8,
11,Winter Glow,1,11,1983-03-15,https://www.youtube.com/embed/Q03YvknOVe0,https://www.twoinchbrush.com/images/painting292.png,8,
12,Snowfall,1,12,1983-03-22,https://www.youtube.com/embed/4E35-8x_y04,https://www.twoinchbrush.com/images/painting293.png,4,
13,Final Reflections,1,13,1983-03-29,https://www.youtube.com/embed/IEQWfszfRlA,https://www.twoinchbrush.com/images/painting294.png,8,
